Province/State,Country/Region,Lat,Long,10/17/2020
,Afghanistan,33.93911,67.709953,40141
,Albania,41.1533,20.1683,16774
,Algeria,28.0339,1.6596,54203
,Andorra,42.5063,1.5218,3377
,Angola,-11.2027,17.8739,7462
,Antigua and Barbuda,17.0608,-61.7964,119
,Argentina,-38.4161,-63.6167,979119
,Armenia,40.0691,45.0382,63000
Australian Capital Territory,Australia,-35.4735,149.0124,113
New South Wales,Australia,-33.8688,151.2093,4338
Northern Territory,Australia,-12.4634,130.8456,33
Queensland,Australia,-27.4698,153.0251,1164
South Australia,Australia,-34.9285,138.6007,482
Tasmania,Australia,-42.8821,147.3272,230
Victoria,Australia,-37.8136,144.9631,20319
Western Australia,Australia,-31.9505,115.8605,711
,Austria,47.5162,14.5501,63134
,Azerbaijan,40.1431,47.5769,44317
,Bahamas,25.025885,-78.035889,5628
,Bahrain,26.0275,50.55,77571
,Bangladesh,23.685,90.3563,387295
,Barbados,13.1939,-59.5432,219
,Belarus,53.7098,27.9534,87063
,Belgium,50.8333,4.469936,213115
,Belize,17.1899,-88.4976,2775
,Benin,9.3077,2.3158,2496
,Bhutan,27.5142,90.4336,325
,Bolivia,-16.2902,-63.5887,139710
,Bosnia and Herzegovina,43.9159,17.6791,33561
,Botswana,-22.3285,24.6849,5242
,Brazil,-14.235,-51.9253,5224362
,Brunei,4.5353,114.7277,147
,Bulgaria,42.7339,25.4858,29108
,Burkina Faso,12.2383,-1.5616,2343
,Burma,21.9162,95.956,34875
,Burundi,-3.3731,29.9189,536
,Cabo Verde,16.5388,-23.0418,7638
,Cambodia,11.55,104.9167,283
,Cameroon,3.848,11.5021,21441
Alberta,Canada,53.9333,-116.5765,21775
British Columbia,Canada,53.7267,-127.6476,11189
Diamond Princess,Canada,0,0,0
Grand Princess,Canada,0,0,13
Manitoba,Canada,53.7609,-98.8139,3173
New Brunswick,Canada,46.5653,-66.4619,297
Newfoundland and Labrador,Canada,53.1355,-57.6604,287
Northwest Territories,Canada,64.8255,-124.8457,5
Nova Scotia,Canada,44.682,-63.7443,1093
Ontario,Canada,51.2538,-85.3232,65869
Prince Edward Island,Canada,46.5107,-63.4168,63
Quebec,Canada,52.9399,-73.5491,91018
Saskatchewan,Canada,52.9399,-106.4509,2270
Yukon,Canada,64.2823,-135,15
,Central African Republic,6.6111,20.9394,4855
,Chad,15.4542,18.7322,1365
,Chile,-35.6751,-71.543,490003
Anhui,China,31.8257,117.2264,991
Beijing,China,40.1824,116.4142,937
Chongqing,China,30.0572,107.874,586
Fujian,China,26.0789,117.9874,417
Gansu,China,35.7518,104.2861,170
Guangdong,China,23.3417,113.4244,1881
Guangxi,China,23.8298,108.7881,260
Guizhou,China,26.8154,106.8748,147
Hainan,China,19.1959,109.7453,171
Hebei,China,39.549,116.1306,368
Heilongjiang,China,47.862,127.7615,948
Henan,China,37.8957,114.9042,1281
Hong Kong,China,22.3,114.2,5237
Hubei,China,30.9756,112.2707,68139
Hunan,China,27.6104,111.7088,1019
Inner Mongolia,China,44.0935,113.9448,275
Jiangsu,China,32.9711,119.455,669
Jiangxi,China,27.614,115.7221,935
Jilin,China,43.6661,126.1923,157
Liaoning,China,41.2956,122.6085,280
Macau,China,22.1667,113.55,46
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,436
Shandong,China,36.3427,118.1498,845
Shanghai,China,31.202,121.4491,1085
Shanxi,China,37.5777,112.2922,208
Sichuan,China,30.6171,102.7103,725
Tianjin,China,39.3054,117.323,252
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,902
Yunnan,China,24.974,101.487,211
Zhejiang,China,29.1832,120.0934,1283
,Colombia,4.5709,-74.2973,952371
,Comoros,-11.6455,43.3333,502
,Congo (Brazzaville),-0.228,15.8277,5156
,Congo (Kinshasa),-4.0383,21.7587,11000
,Costa Rica,9.7489,-83.7534,95514
,Cote d'Ivoire,7.54,-5.5471,20301
,Croatia,45.1,15.2,24761
,Cuba,21.521757,-77.781167,6170
,Cyprus,35.1264,33.4299,2581
,Czechia,49.8175,15.473,168827
Faroe Islands,Denmark,61.8926,-6.9118,483
Greenland,Denmark,71.7069,-42.6043,16
,Denmark,56.2639,9.5018,34941
,Diamond Princess,0,0,712
,Djibouti,11.8251,42.5903,5452
,Dominica,15.415,-61.371,33
,Dominican Republic,18.7357,-70.1627,120925
,Ecuador,-1.8312,-78.1834,152422
,Egypt,26.820553,30.802498,105297
,El Salvador,13.7942,-88.8965,31456
,Equatorial Guinea,1.6508,10.2679,5070
,Eritrea,15.1794,39.7823,452
,Estonia,58.5953,25.0136,4052
,Eswatini,-26.5225,31.4659,5765
,Ethiopia,9.145,40.4897,88434
,Fiji,-17.7134,178.065,32
,Finland,61.92411,25.748151,13293
French Guiana,France,3.9339,-53.1258,10243
French Polynesia,France,-17.6797,149.4068,3797
Guadeloupe,France,16.265,-61.551,7122
Martinique,France,14.6415,-61.0242,2257
Mayotte,France,-12.8275,45.166244,4030
New Caledonia,France,-20.904305,165.618042,27
Reunion,France,-21.1151,55.5364,4776
Saint Barthelemy,France,17.9,-62.8333,72
Saint Pierre and Miquelon,France,46.8852,-56.3159,16
St Martin,France,18.0708,-63.0501,531
,France,46.2276,2.2137,843471
,Gabon,-0.8037,11.6094,8881
,Gambia,13.4432,-15.3101,3649
,Georgia,42.3154,43.3569,16285
,Germany,51.165691,10.451526,364664
,Ghana,7.9465,-1.0232,47232
,Greece,39.0742,21.8243,24932
,Grenada,12.1165,-61.679,27
,Guatemala,15.7835,-90.2308,101028
,Guinea,9.9456,-9.6966,11478
,Guinea-Bissau,11.8037,-15.1804,2389
,Guyana,4.860416,-58.93018,3710
,Haiti,18.9712,-72.2852,8956
,Holy See,41.9029,12.4534,27
,Honduras,15.2,-86.2419,87594
,Hungary,47.1625,19.5033,44816
,Iceland,64.9631,-19.0208,3998
,India,20.593684,78.96288,7432680
,Indonesia,-0.7893,113.9213,357762
,Iran,32.427908,53.688046,526490
,Iraq,33.223191,43.679291,423524
,Ireland,53.1424,-7.6921,48678
,Israel,31.046051,34.851612,302770
,Italy,41.87194,12.56738,402536
,Jamaica,18.1096,-77.2975,8195
,Japan,36.204824,138.252924,92670
,Jordan,31.24,36.51,36053
,Kazakhstan,48.0196,66.9237,109406
,Kenya,-0.0236,37.9062,44196
,"Korea, South",35.907757,127.766922,25199
,Kosovo,42.602636,20.902977,16606
,Kuwait,29.31166,47.481766,115483
